bname,btype
npart,b
evstat,b
evntid,i
evtype,B
evntclas,B
evthel,B
evntclas2,I
q_l,F
t_l,F
tr_time,F
rf_time1,F
rf_time2,F
gpart,I
id[gpart],S
stat[gpart],B
dc[gpart],b
cc[gpart],b
sc[gpart],b
ec[gpart],b
lec[gpart],b
p[gpart],F
m[gpart],F
q[gpart],B
b[gpart],F
cx[gpart],F
cy[gpart],F
cz[gpart],F
vx[gpart],F
vy[gpart],F
vz[gpart],F
dc_part,I
dc_sect[dc_part],b
dc_trk[dc_part],b
dc_stat[dc_part],B
dc_xsc[dc_part],F
dc_ysc[dc_part],F
dc_zsc[dc_part],F
dc_cxsc[dc_part],F
dc_cysc[dc_part],F
dc_czsc[dc_part],F
dc_xec[dc_part],F
dc_yec[dc_part],F
dc_zec[dc_part],F
dc_thcc[dc_part],F
dc_c2[dc_part],F
ec_part,I
ec_stat[ec_part],s
ec_sect[ec_part],b
ec_whol[ec_part],I
ec_inst[ec_part],I
ec_oust[ec_part],I
etot[ec_part],F
ec_ei[ec_part],F
ec_eo[ec_part],F
ec_t[ec_part],F
ec_r[ec_part],F
ech_x[ec_part],F
ech_y[ec_part],F
ech_z[ec_part],F
ec_m2[ec_part],F
ec_m3[ec_part],F
ec_m4[ec_part],F
ec_c2[ec_part],F
sc_part,I
sc_sect[sc_part],b
sc_hit[sc_part],b
sc_pd[sc_part],b
sc_stat[sc_part],b
edep[sc_part],F
sc_t[sc_part],F
sc_r[sc_part],F
sc_c2[sc_part],F
cc_part,I
cc_sect[cc_part],b
cc_hit[cc_part],b
cc_segm[cc_part],I
nphe[cc_part],s
cc_t[cc_part],F
cc_r[cc_part],F
cc_c2[cc_part],F
lac_part,I
lec_sect[lac_part],I
lec_hit[lac_part],I
lec_stat[lac_part],I
lec_etot[lac_part],F
lec_t[lac_part],F
lec_r[lac_part],F
lec_x[lac_part],F
lec_y[lac_part],F
lec_z[lac_part],F
lec_c2[lac_part],F
